Sample,Unit Name,Lithology,Depth_m,d13c_org,d13c_carb,,,,Delta_delta,d18o_carb,,TC%,TIC%,TOC%,H/C
Yaw522,Doushantuo,dolostone,27,-31.5,,-6.9,,,24.6,-9.4,,,12.78,11.952,0.83
Yaw521,Doushantuo,organic-rich dolostone,24.9,-30.8,,-7.4,,,23.4,-7.6,,,11.29,10.117,1.17
Yaw520,Doushantuo,organic-rich dolostone,23.5,-31,,-8.7,,,22.3,-7,,,10.01,8.34,1.67
Yaw519,Doushantuo,dolostone,22.5,-29.7,,-8.9,,,20.8,-6.6,,,11.68,11.496,0.18
Yaw518,Doushantuo,dolostone,20.8,-29.2,,-4.3,,,24.9,-5.8,,,10.62,10.5,0.12
Yaw517,Doushantuo,organic-rich dolostone,18.9,-31.3,,-3,,,28.3,-7,,,9.72,4.654,5.07
Yaw516,Doushantuo,dolostone shale,16.7,-31.5,,-3,,,28.5,-7.5,,,12.38,8.124,4.25
Yaw515,Doushantuo,dolostone shale,15,-31.4,,-1.6,,,29.8,-6.9,,,11.24,5.93,5.31
Yaw514,Doushantuo,black shale,13.2,-31.4,,,,,,,,,7.32,0.008,7.31
Yaw513,Doushantuo,black shale,11.2,-31.1,,,,,,,,,3.75,0.0024,3.75
Yaw512,Doushantuo,lappilus,11,,,,,,,,,,,,
Yaw511,Doushantuo,black shale,10.3,-31.3,,,2.3,,33.6,-7.4,,,3.17,0.0046,3.17
Yaw510,Doushantuo,black shale,9.4,-31.4,,,,,,,,,3.68,0.0005,3.68
Yaw509,Doushantuo,mudstone,7.7,,,,,,,,,,0.07,0.0094,0.06
Yaw508,Doushantuo,black shale,7.65,-30.4,,,,,,,,,1.11,0.0002,1.11
Yaw507,Doushantuo,chert,7.05,-31.1,,-7.6,,,23.4,-12.1,,,0.7,0.3059,0.4
Yaw506,Doushantuo,pyrite layer,7,,,,,,,,,,0.09,0.0182,0.07
Yaw505,Dou-cap,cap dolostone,6.4,-21.5,,,1.1,,22.6,-4,,,11.68,11.307,0.37
Yaw504,Dou-cap,cap dolostone,5.2,-23.1,,-1.5,,,21.6,-4.5,,,10.98,10.538,0.44
Yaw503,Dou-cap,cap dolostone,3.9,-27.4,,-3.6,,,23.8,-9.2,,,12.01,11.403,0.6
Yaw502,Dou-cap,pyrite nodule,2.6,,,,,,,,,,,,
Yaw501,Dou-cap,cap dolostone,1.7,-28.4,,-30.6,,,24.7,-8.7,,,10.68,10.363,0.32
Yaw500,Dou-cap,cap dolostone,0,-27.2,,-4.1,,,23,-10,,,0.91,0.7967,0.11
,Nantuo Fm.,,,,,,,,,,,,,,
Sample,Lithology,Soluble residue,Fe,Ca,Mg,Mn,Sr,Mg/Ca,Mn/Sr,δ13C carb,,δ 18,Ocarb,,
,,[%],[%],[%],[%],[%],[%],,,"[‰, VPDB]",,"[‰, VPDB]",,,
Yaw500,cap dolostone,6.5,7.56,31.7,13.59,0.83,0.0653,0.43,12.75,-4.1,,-10,,,
Yaw501,cap dolostone,84,0.83,22.22,5.48,0.33,0.0151,0.25,22.17,-3.6,,-8.7,,,
Yaw503,cap dolostone,93,0.48,22.19,5.14,0.24,0.01,0.23,23.52,-3.6,,-9.2,,,
Yaw505,cap dolostone,93,0.56,21.75,5,0.24,0.03,0.23,8.12,1.1,,-4,,,
Yaw515,dolomitic shale,47.5,4.49,30.36,7.58,0.12,0.0445,0.25,2.7,-1.6,,-6.9,,,
Yaw517,organic dolostone,37.2,6.37,35.8,8.31,0.14,0.0613,0.23,2.26,-3,,-7.5,,,
Yaw520,organic dolostone,67.1,2.09,28.58,6.03,0.07,0.0151,0.21,4.93,-8.7,,-7,,,
Yaw523,muddy dolostone,48.5,0.82,26.41,8.59,0.1,0.0244,0.33,4.22,-8.6,,-6.7,,,
Yaw526,muddy dolostone,82.8,0.48,24.96,5.74,0.04,0.0061,0.23,6.93,-8,,-4,,,
Yaw529,muddy dolostone,95.7,0.33,21.65,5.16,0.05,0.0044,0.24,11.64,-7,,-3.5,,,
Sat500,phosphorite limestone,93,0.23,33.16,0.06,0.11,0.0309,0,3.53,-3.5,,-12.6,,,
Sat535,limestone,73,0.37,16.66,7.19,0.09,0.0104,0.43,8.73,-1.6,,-8.2,,,
Sat536,dolostone,97,0.12,24.15,10.31,0.14,0.0131,0.43,10.47,-1.4,,-6.7,,,
Sat537,dolostone,97.5,0.17,22.09,11.56,0.09,0.0104,0.52,8.47,-0.7,,-8.9,,,
Sat538,dolostone,96,0.23,21.5,11.73,0.07,0.0106,0.55,6.31,-1,,-9.5,,,
Wen507,cap dolostone,88,0.95,21.83,12.55,0.24,0.0077,0.58,31.18,-2.3,,-4.6,,,
Wen510,cherty dolostone,89,0.6,20.97,12.1,0.13,0.0076,0.58,17.32,-2.3,,-6,,,
Wen513,cap dolostone,82,1.07,25.75,14.15,0.34,0.0062,0.55,55.43,-2.6,,-7.2,,,
Wen522,chert,36,1.65,23.48,12.44,0.2,0.0094,0.53,21.25,-1.1,,-4.8,,,
Wen525,chert,18,1.2,28.31,14.2,0.34,0.0141,0.5,24.02,-0.4,,-4.3,,,
Wen534,dolostone,87,0.5,27.02,12.77,0.1,0.0146,0.47,6.78,3.6,,-1.3,,,
Son516,carbonate,89.7,0.23,38.57,0.21,0.05,0.0245,0.01,1.95,-9.3,,-12.5,,,
Son517,carbonate,75.6,1.17,22.88,10.27,0.11,0.019,0.45,5.98,-7.4,,-7.5,,,
Son518,carbonate,89.1,0.17,38.55,0.19,0.04,0.0199,0.01,1.85,-9.2,,-12.6,,,
Son521,cap limestone,87.4,0.18,38.84,0.36,0.03,0.0223,0.01,1.49,-9,,-13.1,,,
Son564,limestone,84.6,1.08,37.65,0.43,0.04,0.4698,0.01,0.09,0.8,,-11.3,,,
Son572,limestone,18.3,3.78,25.63,1.35,0.12,0.9391,0.05,0.13,-1.6,,-11.7,,,
Son574,limestone,93.1,0.17,38.32,0.26,0.01,0.6085,0.01,0.01,2.3,,-1.4,,,
Son577,limestone,83.3,0.75,28.49,0.24,0.03,0.6903,0.01,0.04,0.1,,-13,,,
,min,6.5,0.1,16.7,0.1,0,0,0,0,-9.3,,-13.1,,,
,max,97.5,7.6,38.8,14.2,0.8,0.9,0.58,55.4,3.6,,-1.3,,,
,average,73.6,1.3,27.6,7,0.2,0.1,0.29,10.5,-3.2,,-7.7,,,
